company,totalyearlycompensation,yearsofexperience,yearsatcompany,gender,Race,Education
Google,396000,5,0,Female,White,Master's Degree
Microsoft,280000,7,5,Male,White,Master's Degree
Facebook,137000,4,1,Female,Hispanic,Master's Degree
Microsoft,310000,18,11,Male,Asian,Master's Degree
Microsoft,200000,12,12,Male,White,Master's Degree
Amazon,250000,16,3,Male,White,Master's Degree
Oracle,530000,13,3,Male,White,Bachelor's Degree
Apple,226000,22,1,Male,Two Or More,Master's Degree
Microsoft,175000,5,1,Male,Asian,Master's Degree
Facebook,136000,0,0,Male,White,Bachelor's Degree
Apple,150000,10,5,Male,Asian,Master's Degree
Amazon,197000,5,0,Male,Asian,Master's Degree
Microsoft,235000,18,1,Female,Asian,Master's Degree
Amazon,114000,3,2,Male,White,Bachelor's Degree
Microsoft,121000,10,0,Female,Asian,Master's Degree
Google,337000,5,5,Male,Asian,PhD
Google,234000,2,0,Male,Asian,Master's Degree
Facebook,80000,6,1,Female,White,Bachelor's Degree
Amazon,254000,3,3,Male,White,Bachelor's Degree
Amazon,199000,3,3,Female,Asian,Bachelor's Degree
Amazon,145000,9,1,Male,White,Bachelor's Degree
Amazon,189000,3,0,Male,White,Bachelor's Degree
Facebook,385000,8,3,Male,Asian,Master's Degree
Amazon,176000,0,0,Male,White,Bachelor's Degree
Oracle,117000,2,2,Male,Black,Bachelor's Degree
Oracle,150000,11,1,Male,Asian,Bachelor's Degree
Apple,260000,7,0,Male,Asian,Master's Degree
Microsoft,250000,13,4,Male,Two Or More,Master's Degree
Amazon,170000,1,0,Male,White,Bachelor's Degree
Amazon,129000,1,1,Female,Asian,Master's Degree
Google,261000,6,5,Female,Asian,Master's Degree
Amazon,215000,3,0,Male,White,Bachelor's Degree
Amazon,154000,0,0,Male,White,Bachelor's Degree
Amazon,190000,2,0,Male,Asian,Master's Degree
Microsoft,205000,5,2,Male,White,Bachelor's Degree
Amazon,442000,15,4,Male,Black,Bachelor's Degree
Google,223000,10,8,Male,White,Bachelor's Degree
Amazon,330000,14,1,Male,Asian,Master's Degree
Microsoft,138000,2,2,Female,Hispanic,Bachelor's Degree
Amazon,251000,9,7,Male,White,Bachelor's Degree
Microsoft,205000,5,2,Male,White,Bachelor's Degree
Facebook,175000,0,0,Female,Asian,Master's Degree
Google,594000,15,1,Male,Asian,Master's Degree
Microsoft,182000,20,3,Male,Asian,Bachelor's Degree
Google,226000,6,1,Male,White,Master's Degree
Microsoft,196000,6,1,Male,Asian,Master's Degree
Google,279000,10,0,Female,Black,PhD
Amazon,300000,17,10,Male,Asian,Master's Degree
Google,273000,3,0,Male,Asian,Master's Degree
Google,156000,5,3,Other,Black,Highschool
Amazon,225000,6,0,Male,Asian,Master's Degree
